                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4372,                 2.1809,                 1.3615,                0.85811,                0.16576,                0.19519,                0.12881,                 1.2477,                 1.9805,                 1.1132,               0.051044,             0.00049451,             0.00049451
                      2,                 1.3223,                 1.5101,                 1.3217,                0.65069,                0.23453,                0.23272,                0.14955,                 1.2115,                 1.6686,                 1.0964,              0.0015046,             0.00095512,             0.00095512
                      3,                 1.2359,                 1.3694,                 1.2924,                0.90047,                0.21853,                0.25648,                0.16444,                 1.1193,                 1.2317,                 1.0782,              0.0009208,              0.0009208,              0.0009208
                      4,                   1.19,                  1.281,                 1.2594,                0.90002,                 0.2256,                0.27108,                0.17183,                 1.1369,                 1.1333,                 1.0818,              0.0009208,              0.0009208,              0.0009208
                      5,                 1.1596,                 1.2207,                 1.2403,                0.59317,                0.33595,                0.31115,                 0.1886,                 1.0655,                 1.0837,                 1.0569,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.1463,                 1.2052,                 1.2366,                0.73854,                0.29077,                0.33696,                0.20794,                 1.0654,                 1.2136,                 1.0512,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.0927,                 1.1167,                 1.1945,                0.60651,                0.33072,                0.38914,                0.22445,                 1.0602,                 1.0345,                 1.0418,               0.000802,               0.000802,               0.000802
                      8,                 1.0554,                 1.0773,                 1.1775,                0.74694,                0.37391,                0.40146,                0.22678,                 1.0424,                0.99117,                  1.046,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.0277,                 1.0292,                 1.1616,                0.57536,                0.31112,                0.38998,                0.22714,                 1.0638,                 1.0353,                 1.0619,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.0225,                 1.0039,                 1.1591,                0.77381,                0.31252,                0.34296,                0.21185,                0.99443,                0.95744,                 1.0375,              0.0006832,              0.0006832,              0.0006832
                     11,                0.97533,                0.95794,                 1.1323,                0.58399,                0.40058,                0.46313,                0.27436,                0.96182,                0.89794,                 1.0119,              0.0006436,              0.0006436,              0.0006436
                     12,                0.98555,                0.95339,                 1.1293,                0.78228,                0.41499,                0.50388,                0.29548,                0.93753,                0.86675,                 1.0076,               0.000604,               0.000604,               0.000604
                     13,                0.92975,                0.90234,                 1.1116,                0.56323,                0.46867,                0.52456,                0.30993,                 0.9459,                0.82783,                 1.0161,              0.0005644,              0.0005644,              0.0005644
                     14,                0.92301,                0.89947,                 1.1162,                0.47045,                0.50321,                 0.5254,                0.33792,                0.94258,                0.86054,                0.99569,              0.0005248,              0.0005248,              0.0005248
                     15,                0.92451,                0.87182,                 1.1053,                0.78243,                0.49845,                0.55082,                0.31899,                0.93635,                0.81393,                0.99483,              0.0004852,              0.0004852,              0.0004852
                     16,                0.85188,                0.87081,                 1.0608,                0.76632,                0.48632,                0.54821,                 0.3497,                0.96731,                 0.8786,                0.99716,              0.0004456,              0.0004456,              0.0004456
                     17,                0.83204,                0.80923,                 1.0445,                0.79412,                0.48039,                0.58877,                0.36166,                0.94605,                0.82747,                 1.0164,               0.000406,               0.000406,               0.000406
                     18,                0.81451,                 0.7804,                 1.0335,                0.77796,                 0.4961,                0.57435,                0.36878,                0.92866,                0.77822,                0.99676,              0.0003664,              0.0003664,              0.0003664
                     19,                0.80088,                0.75479,                 1.0227,                0.83613,                0.47418,                0.59678,                 0.3797,                0.90382,                0.75656,                0.99004,              0.0003268,              0.0003268,              0.0003268
                     20,                0.78631,                 0.7257,                 1.0119,                0.77322,                0.49051,                0.59149,                0.38378,                0.90591,                0.75272,                0.98572,              0.0002872,              0.0002872,              0.0002872
                     21,                0.75531,                0.71454,                0.99702,                0.73478,                0.57822,                0.65156,                0.42474,                0.88251,                0.73679,                0.96304,              0.0002476,              0.0002476,              0.0002476
                     22,                0.74272,                0.69761,                0.99051,                0.83511,                0.55141,                 0.6746,                 0.4478,                0.89272,                0.72726,                0.96424,               0.000208,               0.000208,               0.000208
                     23,                0.72343,                0.68762,                0.99112,                0.81655,                0.54923,                0.72018,                0.45484,                0.88665,                0.70985,                0.96919,              0.0001684,              0.0001684,              0.0001684
                     24,                0.70533,                0.65616,                0.98205,                0.63412,                0.63822,                0.70596,                0.46209,                0.86344,                0.68824,                0.96152,              0.0001288,              0.0001288,              0.0001288
                     25,                0.67975,                0.64721,                0.96054,                0.67253,                0.69799,                 0.7162,                0.46425,                0.85033,                0.68418,                0.95976,               8.92e-05,               8.92e-05,               8.92e-05
